10/10/2015 1:27:35 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/DashBoard/DashBoard.aspx|trangvt|Truy cập trang:Tổng quan
10/10/2015 1:29:51 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/tSa03_UserRole/ShowTSa03_UserRoleTable.aspx|trangvt|Truy cập trang:Xem danh sách người dùng-quyền
10/10/2015 1:29:57 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/tSa03_UserRole/AddTSa03_UserRole.aspx|trangvt|Truy cập trang:Thêm người dùng-quyền
10/10/2015 2:17:46 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/tSa03_UserRole/ShowTSa03_UserRoleTable.aspx|trangvt|Truy cập trang:Xem danh sách người dùng-quyền
10/10/2015 2:23:29 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/tSa03_UserRole/AddTSa03_UserRole.aspx|trangvt|Truy cập trang:Thêm người dùng-quyền
10/10/2015 2:42:12 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/tTrafficSafety_07_DanhMucTinTuc/AddTTrafficSafety_07_DanhMucTinTuc.aspx|trangvt|Truy cập trang:Thêm Danh mục tin tức
10/10/2015 2:49:55 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/tSa03_UserRole/ShowTSa03_UserRoleTable.aspx|trangvt|Truy cập trang:Xem danh sách người dùng-quyền
10/10/2015 2:52:47 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/tSa03_UserRole/EditTSa03_UserRole.aspx?TSa03_UserRole=<key><cv><c>ID</c><v>382</v></cv></key>|trangvt|Truy cập trang:Sửa người dùng-quyền
10/10/2015 2:53:03 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/tSa03_UserRole/EditTSa03_UserRole.aspx?TSa03_UserRole=<key><cv><c>ID</c><v>382</v></cv></key>|trangvt|Truy cập trang:Sửa người dùng-quyền
10/10/2015 2:57:19 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/tSa03_UserRole/ShowTSa03_UserRoleTable.aspx|trangvt|Truy cập trang:Xem danh sách người dùng-quyền
10/10/2015 3:11:13 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/tSa02_Role/ShowTSa02_RoleTable.aspx|trangvt|Truy cập trang:Xem danh sách quyền
10/10/2015 3:22:00 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/tSa03_UserRole/AddTSa03_UserRole.aspx|trangvt|Truy cập trang:Thêm người dùng-quyền
