10/28/2015 3:24:37 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tSa05_DonVi/ShowTSa05_DonViTable.aspx|huyenhs|Truy cập trang:Xem danh sách  Đơn vị
10/28/2015 3:24:51 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tSa05_DonVi/AddTSa05_DonVi.aspx|huyenhs|Truy cập trang:Thêm Đơn vị
10/28/2015 3:25:00 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tSa05_DonVi/ShowTSa05_DonViTable.aspx|huyenhs|Truy cập trang:Xem danh sách  Đơn vị
10/28/2015 3:25:03 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tSa05_DonVi/EditTSa05_DonVi.aspx?TSa05_DonVi=<key><cv><c>ID</c><v>1</v></cv></key>|huyenhs|Truy cập trang:Sửa  Đơn vị
10/28/2015 3:25:07 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tSa05_DonVi/ShowTSa05_DonViTable.aspx|huyenhs|Truy cập trang:Xem danh sách  Đơn vị
10/28/2015 3:25:09 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tSa05_DonVi/AddTSa05_DonVi.aspx|huyenhs|Truy cập trang:Thêm Đơn vị
10/28/2015 3:25:12 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tSa05_DonVi/ShowTSa05_DonViTable.aspx|huyenhs|Truy cập trang:Xem danh sách  Đơn vị
10/28/2015 3:25:14 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tSa05_DonVi/EditTSa05_DonVi.aspx?TSa05_DonVi=<key><cv><c>ID</c><v>1</v></cv></key>|huyenhs|Truy cập trang:Sửa  Đơn vị
10/28/2015 3:58:53 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tSa05_DonVi/EditTSa05_DonVi.aspx?TSa05_DonVi=<key><cv><c>ID</c><v>1</v></cv></key>|huyenhs|Truy cập trang:Sửa  Đơn vị
10/28/2015 3:59:17 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tSa05_DonVi/ShowTSa05_DonViTable.aspx|huyenhs|Truy cập trang:Xem danh sách  Đơn vị
10/28/2015 3:59:20 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tSa05_DonVi/ShowTSa05_DonVi.aspx?TSa05_DonVi=<key><cv><c>ID</c><v>1</v></cv></key>|huyenhs|Truy cập trang:Xem chi tiết Đơn vị
10/28/2015 3:59:28 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tSa04_ChucVu/ShowTSa04_ChucVuTable.aspx|huyenhs|Truy cập trang:Xem danh sách  Chức vụ
10/28/2015 3:59:33 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tSa04_ChucVu/AddTSa04_ChucVu.aspx|huyenhs|Truy cập trang:Thêm Chức vụ
10/28/2015 3:59:36 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tSa04_ChucVu/ShowTSa04_ChucVuTable.aspx|huyenhs|Truy cập trang:Xem danh sách  Chức vụ
10/28/2015 3:59:38 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tSa04_ChucVu/EditTSa04_ChucVu.aspx?TSa04_ChucVu=<key><cv><c>ID</c><v>1</v></cv></key>|huyenhs|Truy cập trang:Sửa Chức vụ
10/28/2015 3:59:41 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tSa04_ChucVu/ShowTSa04_ChucVuTable.aspx|huyenhs|Truy cập trang:Xem danh sách  Chức vụ
10/28/2015 3:59:45 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tSa04_ChucVu/ShowTSa04_ChucVuTable.aspx|huyenhs|Truy cập trang:Xem danh sách  Chức vụ
10/28/2015 4:03:01 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tSa04_ChucVu/ShowTSa04_ChucVuTable.aspx|huyenhs|Truy cập trang:Xem danh sách  Chức vụ
10/28/2015 4:03:03 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tSa04_ChucVu/ShowTSa04_ChucVuTable.aspx|huyenhs|Truy cập trang:Xem danh sách  Chức vụ
10/28/2015 4:03:05 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tSa04_ChucVu/ShowTSa04_ChucVu.aspx?tSa04_ChucVu=<key><cv><c>ID</c><v>1</v></cv></key>|huyenhs|Truy cập trang:Xem chi tiết Chức vụ
10/28/2015 4:14:43 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_12_HinhThucVanBan/ShowTTrafficSafety_12_HinhThucVanBanTable.aspx|huyenhs|Truy cập trang:Xem danh sách Hình thức văn bản
10/28/2015 4:14:59 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_12_HinhThucVanBan/ShowTTrafficSafety_12_HinhThucVanBan.aspx?TTrafficSafety_12_HinhThucVanBan=<key><cv><c>MaHinhThuc</c><v>1</v></cv></key>|huyenhs|Truy cập trang:Xem chi tiết Hình thức văn bản
10/28/2015 4:15:04 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_12_HinhThucVanBan/EditTTrafficSafety_12_HinhThucVanBan.aspx?TTrafficSafety_12_HinhThucVanBan=<key><cv><c>MaHinhThuc</c><v>1</v></cv></key>|huyenhs|Truy cập trang:Sửa Hình thức văn bản
10/28/2015 4:15:24 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_13_CoQuanBanHanh/ShowTTrafficSafety_13_CoQuanBanHanhTable.aspx|huyenhs|Truy cập trang:Xem danh sách Cơ quan ban hành
10/28/2015 4:15:36 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_13_CoQuanBanHanh/ShowTTrafficSafety_13_CoQuanBanHanh.aspx?TTrafficSafety_13_CoQuanBanHanh=<key><cv><c>MaCQBH</c><v>1</v></cv></key>|huyenhs|Truy cập trang:Xem chi tiết Cơ quan ban hành
10/28/2015 4:15:38 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_13_CoQuanBanHanh/EditTTrafficSafety_13_CoQuanBanHanh.aspx?TTrafficSafety_13_CoQuanBanHanh=<key><cv><c>MaCQBH</c><v>1</v></cv></key>|huyenhs|Truy cập trang:Sửa Cơ quan ban hành
10/28/2015 4:15:42 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_13_CoQuanBanHanh/AddTTrafficSafety_13_CoQuanBanHanh.aspx|huyenhs|Truy cập trang:Thêm Cơ quan ban hành
10/28/2015 4:15:58 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_14_ChuyenNganh/ShowTTrafficSafety_14_ChuyenNganhTable.aspx|huyenhs|Truy cập trang:Xem danh sách Chuyên nghành
10/28/2015 4:16:00 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_14_ChuyenNganh/ShowTTrafficSafety_14_ChuyenNganh.aspx?TTrafficSafety_14_ChuyenNganh=<key><cv><c>MaChuyenNganh</c><v>1</v></cv></key>|huyenhs|Truy cập trang:Xem chi tiết Chuyên nghành
10/28/2015 4:16:03 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_14_ChuyenNganh/EditTTrafficSafety_14_ChuyenNganh.aspx?TTrafficSafety_14_ChuyenNganh=<key><cv><c>MaChuyenNganh</c><v>1</v></cv></key>|huyenhs|Truy cập trang:Sửa Chuyên nghành
10/28/2015 4:16:05 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_14_ChuyenNganh/ShowTTrafficSafety_14_ChuyenNganhTable.aspx|huyenhs|Truy cập trang:Xem danh sách Chuyên nghành
10/28/2015 4:16:08 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_14_ChuyenNganh/AddTTrafficSafety_14_ChuyenNganh.aspx|huyenhs|Truy cập trang:Thêm Chuyên nghành
10/28/2015 4:16:23 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_11_LinhVuc/ShowTTrafficSafety_11_LinhVucTable.aspx|huyenhs|Truy cập trang:Xem danh sách Lĩnh vực
