10/29/2015 9:07:51 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_15_VanBan/ShowTTrafficSafety_15_VanBanTable.aspx|huyenhs|Truy cập trang:Xem danh sách Văn bản QPPPL
10/29/2015 9:12:17 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_15_VanBan/ShowTTrafficSafety_15_VanBanTable.aspx|huyenhs|Truy cập trang:Xem danh sách Văn bản QPPPL
10/29/2015 9:12:20 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_15_VanBan/AddTTrafficSafety_15_VanBan.aspx|huyenhs|Truy cập trang:Thêm Văn bản QPPPL
10/29/2015 10:30:02 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_15_VanBan/AddTTrafficSafety_15_VanBan.aspx|huyenhs|Truy cập trang:Thêm Văn bản QPPPL
10/29/2015 10:31:22 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_15_VanBan/ShowTTrafficSafety_15_VanBanTable.aspx|huyenhs|Truy cập trang:Xem danh sách Văn bản QPPPL
10/29/2015 10:31:40 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_15_VanBan/EditTTrafficSafety_15_VanBan.aspx?TTrafficSafety_15_VanBan=<key><cv><c>VanBanID</c><v>13</v></cv></key>|huyenhs|Truy cập trang:Sửa Văn bản QPPPL
10/29/2015 10:37:16 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_15_VanBan/EditTTrafficSafety_15_VanBan.aspx?TTrafficSafety_15_VanBan=<key><cv><c>VanBanID</c><v>13</v></cv></key>|huyenhs|Truy cập trang:Sửa Văn bản QPPPL
10/29/2015 10:37:19 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_15_VanBan/ShowTTrafficSafety_15_VanBanTable.aspx|huyenhs|Truy cập trang:Xem danh sách Văn bản QPPPL
10/29/2015 10:37:22 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_15_VanBan/ShowTTrafficSafety_15_VanBan.aspx?TTrafficSafety_15_VanBan=<key><cv><c>VanBanID</c><v>13</v></cv></key>|huyenhs|Truy cập trang:Xem chi tiết Văn bản QPPPL
10/29/2015 10:37:36 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_15_VanBan/EditTTrafficSafety_15_VanBan.aspx?TTrafficSafety_15_VanBan=<key><cv><c>VanBanID</c><v>13</v></cv></key>|huyenhs|Truy cập trang:Sửa Văn bản QPPPL
10/29/2015 10:38:23 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_15_VanBan/ShowTTrafficSafety_15_VanBanTable.aspx|huyenhs|Truy cập trang:Xem danh sách Văn bản QPPPL
10/29/2015 10:38:25 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_15_VanBan/ShowTTrafficSafety_15_VanBan.aspx?TTrafficSafety_15_VanBan=<key><cv><c>VanBanID</c><v>13</v></cv></key>|huyenhs|Truy cập trang:Xem chi tiết Văn bản QPPPL
10/29/2015 10:42:38 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_15_VanBan/ShowTTrafficSafety_15_VanBan.aspx?TTrafficSafety_15_VanBan=<key><cv><c>VanBanID</c><v>13</v></cv></key>|huyenhs|Truy cập trang:Xem chi tiết Văn bản QPPPL
10/29/2015 10:42:43 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_13_CoQuanBanHanh/ShowTTrafficSafety_13_CoQuanBanHanh.aspx?TTrafficSafety_13_CoQuanBanHanh=<key><cv><c>MaCQBH</c><v>4</v></cv></key>|huyenhs|Truy cập trang:Xem chi tiết Cơ quan ban hành
10/29/2015 10:42:46 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_15_VanBan/ShowTTrafficSafety_15_VanBan.aspx?TTrafficSafety_15_VanBan=<key><cv><c>VanBanID</c><v>13</v></cv></key>|huyenhs|Truy cập trang:Xem chi tiết Văn bản QPPPL
10/29/2015 10:42:54 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_15_VanBan/AddTTrafficSafety_15_VanBan.aspx|huyenhs|Truy cập trang:Thêm Văn bản QPPPL
10/29/2015 10:43:01 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_15_VanBan/ShowTTrafficSafety_15_VanBanTable.aspx|huyenhs|Truy cập trang:Xem danh sách Văn bản QPPPL
10/29/2015 10:44:13 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_15_VanBan/ShowTTrafficSafety_15_VanBan.aspx?TTrafficSafety_15_VanBan=<key><cv><c>VanBanID</c><v>13</v></cv></key>|huyenhs|Truy cập trang:Xem chi tiết Văn bản QPPPL
10/29/2015 10:44:16 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_15_VanBan/ShowTTrafficSafety_15_VanBanTable.aspx|huyenhs|Truy cập trang:Xem danh sách Văn bản QPPPL
10/29/2015 10:48:23 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_15_VanBan/ShowTTrafficSafety_15_VanBanTable.aspx|huyenhs|Truy cập trang:Xem danh sách Văn bản QPPPL
10/29/2015 10:48:33 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_15_VanBan/ShowTTrafficSafety_15_VanBan.aspx?TTrafficSafety_15_VanBan=<key><cv><c>VanBanID</c><v>13</v></cv></key>|huyenhs|Truy cập trang:Xem chi tiết Văn bản QPPPL
10/29/2015 10:57:02 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_15_VanBan/ShowTTrafficSafety_15_VanBanTable.aspx|huyenhs|Truy cập trang:Xem danh sách Văn bản QPPPL
10/29/2015 10:57:06 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_15_VanBan/ShowTTrafficSafety_15_VanBan.aspx?TTrafficSafety_15_VanBan=<key><cv><c>VanBanID</c><v>13</v></cv></key>|huyenhs|Truy cập trang:Xem chi tiết Văn bản QPPPL
10/29/2015 11:04:24 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_15_VanBan/ShowTTrafficSafety_15_VanBanTable.aspx|huyenhs|Truy cập trang:Xem danh sách Văn bản QPPPL
10/29/2015 11:04:28 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_15_VanBan/ShowTTrafficSafety_15_VanBan.aspx?TTrafficSafety_15_VanBan=<key><cv><c>VanBanID</c><v>13</v></cv></key>|huyenhs|Truy cập trang:Xem chi tiết Văn bản QPPPL
10/29/2015 11:04:36 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_11_LinhVuc/ShowTTrafficSafety_11_LinhVucTable.aspx|huyenhs|Truy cập trang:Xem danh sách Lĩnh vực
10/29/2015 11:10:52 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_11_LinhVuc/ShowTTrafficSafety_11_LinhVucTable.aspx|huyenhs|Truy cập trang:Xem danh sách Lĩnh vực
10/29/2015 11:10:55 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_11_LinhVuc/ShowTTrafficSafety_11_LinhVuc.aspx?TTrafficSafety_11_LinhVuc=<key><cv><c>MaLinhVuc</c><v>1</v></cv></key>|huyenhs|Truy cập trang:Xem chi tiết Lĩnh vực
10/29/2015 11:10:58 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_11_LinhVuc/EditTTrafficSafety_11_LinhVuc.aspx?TTrafficSafety_11_LinhVuc=<key><cv><c>MaLinhVuc</c><v>1</v></cv></key>|huyenhs|Truy cập trang:Sửa Lĩnh vực
10/29/2015 11:11:07 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_25_KhachHangQuangCao/ShowTTrafficSafety_25_KhachHangQuangCaoTable.aspx|huyenhs|Truy cập trang:Xem danh sách khách hàng quảng cáo
10/29/2015 11:11:11 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_25_KhachHangQuangCao/ShowTTrafficSafety_25_KhachHangQuangCao.aspx?TTrafficSafety_25_KhachHangQuangCao=<key><cv><c>Id</c><v>1</v></cv></key>|huyenhs|Truy cập trang:Xem chi tiết khách hàng quảng cáo
10/29/2015 11:19:36 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_25_KhachHangQuangCao/ShowTTrafficSafety_25_KhachHangQuangCao.aspx?TTrafficSafety_25_KhachHangQuangCao=<key><cv><c>Id</c><v>1</v></cv></key>|huyenhs|Truy cập trang:Xem chi tiết khách hàng quảng cáo
10/29/2015 11:19:55 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/ShowTTrafficSafety_26_QuangCao.aspx?TTrafficSafety_26_QuangCao=<key><cv><c>Id</c><v>3</v></cv></key>|huyenhs|Truy cập trang:Xem chi tiết quảng cáo
10/29/2015 11:20:01 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/EditTTrafficSafety_26_QuangCao.aspx?TTrafficSafety_26_QuangCao=<key><cv><c>Id</c><v>3</v></cv></key>|huyenhs|Truy cập trang:Sửa quảng cáo
10/29/2015 11:20:35 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/ShowTTrafficSafety_26_QuangCaoTable.aspx|huyenhs|Truy cập trang:Xem danh sách quảng cáo
10/29/2015 11:20:44 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/ShowTTrafficSafety_26_QuangCaoTable.aspx|huyenhs|Truy cập trang:Xem danh sách quảng cáo
10/29/2015 11:28:17 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/AddTTrafficSafety_26_QuangCao.aspx|huyenhs|Truy cập trang:Thêm quảng cáo
10/29/2015 11:29:15 AM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/AddTTrafficSafety_26_QuangCao.aspx|huyenhs|Truy cập trang:Thêm quảng cáo
10/29/2015 12:36:57 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/AddTTrafficSafety_26_QuangCao.aspx|huyenhs|Truy cập trang:Thêm quảng cáo
10/29/2015 1:41:32 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/AddTTrafficSafety_26_QuangCao.aspx|huyenhs|Truy cập trang:Thêm quảng cáo
10/29/2015 1:44:31 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/AddTTrafficSafety_26_QuangCao.aspx|huyenhs|Truy cập trang:Thêm quảng cáo
10/29/2015 1:45:20 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/ShowTTrafficSafety_26_QuangCaoTable.aspx|huyenhs|Truy cập trang:Xem danh sách quảng cáo
10/29/2015 1:45:24 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/ShowTTrafficSafety_26_QuangCao.aspx?TTrafficSafety_26_QuangCao=<key><cv><c>Id</c><v>8</v></cv></key>|huyenhs|Truy cập trang:Xem chi tiết quảng cáo
10/29/2015 1:51:04 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/ShowTTrafficSafety_26_QuangCao.aspx?TTrafficSafety_26_QuangCao=<key><cv><c>Id</c><v>8</v></cv></key>|huyenhs|Truy cập trang:Xem chi tiết quảng cáo
10/29/2015 1:57:04 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/ShowTTrafficSafety_26_QuangCao.aspx?TTrafficSafety_26_QuangCao=<key><cv><c>Id</c><v>8</v></cv></key>|huyenhs|Truy cập trang:Xem chi tiết quảng cáo
10/29/2015 1:57:08 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/ShowTTrafficSafety_26_QuangCaoTable.aspx|huyenhs|Truy cập trang:Xem danh sách quảng cáo
10/29/2015 1:57:11 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/EditTTrafficSafety_26_QuangCao.aspx?TTrafficSafety_26_QuangCao=<key><cv><c>Id</c><v>8</v></cv></key>|huyenhs|Truy cập trang:Sửa quảng cáo
10/29/2015 1:57:38 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/AddTTrafficSafety_26_QuangCao.aspx|huyenhs|Truy cập trang:Thêm quảng cáo
10/29/2015 2:00:45 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/AddTTrafficSafety_26_QuangCao.aspx|huyenhs|Truy cập trang:Thêm quảng cáo
10/29/2015 2:00:48 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/ShowTTrafficSafety_26_QuangCaoTable.aspx|huyenhs|Truy cập trang:Xem danh sách quảng cáo
10/29/2015 2:00:51 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/EditTTrafficSafety_26_QuangCao.aspx?TTrafficSafety_26_QuangCao=<key><cv><c>Id</c><v>8</v></cv></key>|huyenhs|Truy cập trang:Sửa quảng cáo
10/29/2015 2:04:56 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/ShowTTrafficSafety_26_QuangCaoTable.aspx|huyenhs|Truy cập trang:Xem danh sách quảng cáo
10/29/2015 2:05:12 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/EditTTrafficSafety_26_QuangCao.aspx?TTrafficSafety_26_QuangCao=<key><cv><c>Id</c><v>8</v></cv></key>|huyenhs|Truy cập trang:Sửa quảng cáo
10/29/2015 2:05:31 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/AddTTrafficSafety_26_QuangCao.aspx|huyenhs|Truy cập trang:Thêm quảng cáo
10/29/2015 2:13:53 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/AddTTrafficSafety_26_QuangCao.aspx|huyenhs|Truy cập trang:Thêm quảng cáo
10/29/2015 2:13:57 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/ShowTTrafficSafety_26_QuangCaoTable.aspx|huyenhs|Truy cập trang:Xem danh sách quảng cáo
10/29/2015 2:13:59 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/EditTTrafficSafety_26_QuangCao.aspx?TTrafficSafety_26_QuangCao=<key><cv><c>Id</c><v>8</v></cv></key>|huyenhs|Truy cập trang:Sửa quảng cáo
10/29/2015 2:14:11 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/ShowTTrafficSafety_26_QuangCaoTable.aspx|huyenhs|Truy cập trang:Xem danh sách quảng cáo
10/29/2015 2:14:13 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/EditTTrafficSafety_26_QuangCao.aspx?TTrafficSafety_26_QuangCao=<key><cv><c>Id</c><v>8</v></cv></key>|huyenhs|Truy cập trang:Sửa quảng cáo
10/29/2015 2:19:36 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/AddTTrafficSafety_26_QuangCao.aspx|huyenhs|Truy cập trang:Thêm quảng cáo
10/29/2015 2:20:19 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/ShowTTrafficSafety_26_QuangCaoTable.aspx|huyenhs|Truy cập trang:Xem danh sách quảng cáo
10/29/2015 2:20:36 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/ShowTTrafficSafety_26_QuangCaoTable.aspx|huyenhs|Truy cập trang:Xem danh sách quảng cáo
10/29/2015 2:20:38 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/EditTTrafficSafety_26_QuangCao.aspx?TTrafficSafety_26_QuangCao=<key><cv><c>Id</c><v>9</v></cv></key>|huyenhs|Truy cập trang:Sửa quảng cáo
10/29/2015 2:20:48 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/ShowTTrafficSafety_26_QuangCaoTable.aspx|huyenhs|Truy cập trang:Xem danh sách quảng cáo
10/29/2015 2:20:50 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/EditTTrafficSafety_26_QuangCao.aspx?TTrafficSafety_26_QuangCao=<key><cv><c>Id</c><v>9</v></cv></key>|huyenhs|Truy cập trang:Sửa quảng cáo
10/29/2015 2:24:16 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/EditTTrafficSafety_26_QuangCao.aspx?TTrafficSafety_26_QuangCao=<key><cv><c>Id</c><v>9</v></cv></key>|huyenhs|Truy cập trang:Sửa quảng cáo
10/29/2015 2:24:27 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/ShowTTrafficSafety_26_QuangCaoTable.aspx|huyenhs|Truy cập trang:Xem danh sách quảng cáo
10/29/2015 2:24:29 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_26_QuangCao/EditTTrafficSafety_26_QuangCao.aspx?TTrafficSafety_26_QuangCao=<key><cv><c>Id</c><v>9</v></cv></key>|huyenhs|Truy cập trang:Sửa quảng cáo
10/29/2015 2:24:39 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tSa03_UserRole/ShowTSa03_UserRoleTable.aspx|huyenhs|Truy cập trang:Xem danh sách người dùng-quyền
10/29/2015 2:33:04 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/DashBoard/DashBoard.aspx|huyenhs|Truy cập trang:Tổng quan
10/29/2015 2:34:30 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tSa02_Role/ShowTSa02_RoleTable.aspx|huyenhs|Truy cập trang:Xem danh sách quyền
10/29/2015 2:34:34 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tSa02_Role/EditTSa02_Role.aspx?TSa02_Role=<key><cv><c>ID</c><v>1</v></cv></key>|huyenhs|Truy cập trang:Sửa quyền
10/29/2015 2:34:37 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tSa02_Role/ShowTSa02_RoleTable.aspx|huyenhs|Truy cập trang:Xem danh sách quyền
10/29/2015 2:34:38 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tSa02_Role/ShowTSa02_Role.aspx?TSa02_Role=<key><cv><c>ID</c><v>1</v></cv></key>|huyenhs|Truy cập trang:Xem chi tiết quyền
10/29/2015 2:37:07 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tSa02_Role/ShowTSa02_Role.aspx?TSa02_Role=<key><cv><c>ID</c><v>1</v></cv></key>|huyenhs|Truy cập trang:Xem chi tiết quyền
10/29/2015 2:37:14 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tSa01_User/ShowTSa01_UserTable.aspx|huyenhs|Truy cập trang:Xem danh sách người dùng
10/29/2015 2:37:21 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tSa03_UserRole/ShowTSa03_UserRoleTable.aspx|huyenhs|Truy cập trang:Xem danh sách người dùng-quyền
10/29/2015 2:37:26 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tSa02_Role/ShowTSa02_RoleTable.aspx|huyenhs|Truy cập trang:Xem danh sách quyền
10/29/2015 2:40:24 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tSa01_User/ShowTSa01_UserTable.aspx|huyenhs|Truy cập trang:Xem danh sách người dùng
10/29/2015 2:40:32 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tSa01_User/AddTSa01_User.aspx|huyenhs|Truy cập trang:Thêm người dùng
10/29/2015 2:40:35 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tSa01_User/ShowTSa01_UserTable.aspx|huyenhs|Truy cập trang:Xem danh sách người dùng
10/29/2015 2:40:37 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tSa01_User/ShowTSa01_User.aspx?TSa01_User=<key><cv><c>ID</c><v>1</v></cv></key>|huyenhs|Truy cập trang:Xem chi tiết người dùng
10/29/2015 2:40:51 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tSa01_User/ShowTSa01_UserTable.aspx|huyenhs|Truy cập trang:Xem danh sách người dùng
10/29/2015 2:40:53 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tSa01_User/EditTSa01_User.aspx?TSa01_User=<key><cv><c>ID</c><v>1</v></cv></key>|huyenhs|Truy cập trang:Sửa người dùng
10/29/2015 2:40:55 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tSa01_User/ShowTSa01_UserTable.aspx|huyenhs|Truy cập trang:Xem danh sách người dùng
10/29/2015 2:40:57 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tSa01_User/ShowTSa01_User.aspx?TSa01_User=<key><cv><c>ID</c><v>1</v></cv></key>|huyenhs|Truy cập trang:Xem chi tiết người dùng
10/29/2015 2:46:52 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/DashBoard/DashBoard.aspx|huyenhs|Truy cập trang:Tổng quan
10/29/2015 2:47:19 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_18_ThamDoYKien/ShowTTrafficSafety_18_ThamDoYKienTable.aspx|huyenhs|Truy cập trang:Xem danh sách  thăm dò ý kiến
10/29/2015 2:47:23 PM | ::1 | huyen | http://it.mt.gov.vn/dctquantri/tTrafficSafety_18_ThamDoYKien/ShowTTrafficSafety_18_ThamDoYKien.aspx?TTrafficSafety_18_ThamDoYKien=<key><cv><c>id</c><v>1</v></cv></key>|huyenhs|Truy cập trang:Xem chi tiết  thăm dò ý kiến
