9/30/2015 1:18:16 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/DashBoard/DashBoard.aspx|thangnd|Truy cập trang:Tổng quan
9/30/2015 1:19:04 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/tTrafficSafety_09_Videos/ShowTTrafficSafety_09_VideosTable.aspx|thangnd|Truy cập trang:Xem danh sách  Videos
9/30/2015 1:24:16 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/tTrafficSafety_26_QuangCao/AddTTrafficSafety_26_QuangCao.aspx|thangnd|Truy cập trang:Thêm quảng cáo
9/30/2015 1:24:29 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/DashBoard/ChangePasswords.aspx|thangnd|Truy cập trang:Thay đổi mật khẩu
9/30/2015 1:24:42 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/tSa01_User/ShowTSa01_UserTable.aspx|thangnd|Truy cập trang:Xem danh sách người dùng
9/30/2015 1:24:50 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/tSa01_User/EditTSa01_User.aspx?TSa01_User=<key><cv><c>ID</c><v>1</v></cv></key>|thangnd|Truy cập trang:Sửa người dùng
9/30/2015 1:25:02 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/tSa01_User/ShowTSa01_UserTable.aspx|thangnd|Truy cập trang:Xem danh sách người dùng
9/30/2015 1:25:10 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/DashBoard/DashBoard.aspx|thangnd|Truy cập trang:Tổng quan
9/30/2015 1:34:28 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/tTrafficSafety_26_QuangCao/AddTTrafficSafety_26_QuangCao.aspx|huyenhs|Truy cập trang:Thêm quảng cáo
9/30/2015 1:34:52 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/DashBoard/DashBoard.aspx|huyenhs|Truy cập trang:Tổng quan
9/30/2015 1:36:51 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/DashBoard/DashBoard.aspx|trangvt|Truy cập trang:Tổng quan
9/30/2015 1:37:31 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/tTrafficSafety_08_TinTuc/AddTTrafficSafety_08_TinTuc.aspx|trangvt|Truy cập trang:Thêm Tin tức
9/30/2015 2:10:50 PM | 10.21.254.3 | 10.21.254.3 | http://it.mt.gov.vn/dctQuanTri/tTrafficSafety_15_VanBan/ShowTTrafficSafety_15_VanBanTable.aspx|huyenhs|Truy cập trang:Xem danh sách Văn bản QPPPL
